,,,,,,,,,,,,,,,,,,,,,,,,
,"Name of candidate: 
",,Designation :                                   Department :                                                                                                     Date :,,,,,,Sub-total,Max. Possible,% Score,Average - Peers,,Average - Self,,,,,,,,,,
,,,Relation with candidate : Self / Top Boss / HR / Reporting boss / Peers / Subordinate ,Needs Improvement,Fair & Satisfactory,Good,Very Good,Excellent,,,,,,,,,,,,,,,,
,Sr. No.,Attributes,Behaviour Analysis,20,40,60,80,100,,,,Score,% Score,Score,% Score,,,,,,,,,
,1,"Accountability & Ownership 
      
     Ability to complete tasks /assignments in totality with pre-decided timeline",Understands importance  of task w.r.t. pre-decided business objectives & business challenges.,,,1,7,1,720,900,80.0,632.0,70.2,84.0,84.0,,,,Sr. No.,Attributes,Average - Peers,,Average - Self,
,,,"Considers obstacles , challenges and thoughtfully  develops an executable action plan to meet deadlines.",,1,2,6,,640,900,71.1,,,,,,,,,,Score,% Score,Score,% Score
,,,Takes initiative and  drives people  to get things done to meet dead lines. ,,,6,3,,600,900,66.7,,,,,,,,1,Accountability & Ownership,632.0,70.2,84.0,84.0
,,,"Gives timely feedbacks to top management and if required asks for help, proactively .",,1,3,5,,620,900,68.9,,,,,,,,2,Decision making,556.0,61.8,68.0,68.0
,,,Visibly demonstrates sense of accountability & ownership. मी आहे सर .काळजी करू नका.,,3,1,5,,580,900,64.4,,,,,,,,3,Interpersonal Intelligence,600.0,66.7,65.0,65.0
,2,"Decision making

Ability to take  correct and timely decision & its effective  execution","Understands importance of function, role & responsibilities w.r.t.  business objectives & business challenges.",,1,2,6,,640,900,71.1,556.0,61.8,68.0,68.0,,,,4,Intrapersonal Intelligence,584.0,64.9,68.0,68.0
,,,"Takes independent , timely - correct decisions and takes full responsibility of them.",,1,6,2,,560,900,62.2,,,,,,,,5,Effective communication & participation  ,596.0,66.2,64.0,64.0
,,,Structurally monitors execution plan  and gives corrective feedbacks to concern people/ functions,,2,4,3,,560,900,62.2,,,,,,,,6,Professionalism ,576.0,64.0,60.0,60.0
,,,"Organized way of doing things  ,keeps own calendar, to do things with priority and keeps updated.",,5,3,1,,460,900,51.1,,,,,,,,7,Emotional Toughness  ,595.0,66.1,60.0,60.0
,,,"Before taking decision,  thinks about impact or  effect of decision on business as a whole. ",,2,4,3,,560,900,62.2,,,,,,,,8,Overall behavior,670.0,74.4,75.0,75.0
,3,"Interpersonal Intelligence 

Emotional bonding & Relations with team members  Ability to understand & interact with  others","Understands  & deals with others emotions, feelings ,moods.",,2,5,2,,540,900,60.0,600.0,66.7,65.0,65.0,,,,,Cummulative,4809.0,66.8,544.0,68.0
,,,Creates  an open/secured atmosphere within teams to have open discussion and free expression of opinions & feelings,,2,2,4,1,620,900,68.9,,,,,,,,,,,,,
,,,Inspires team members to improve their knowledge & skills for better performance.,,1,3,4,1,640,900,71.1,,,,,,,,,,,,,
,,,"Trustworthy ,  trust others and empowers.",,1,4,4,,600,900,66.7,,,,,,,,,,,,,
,4,"Intrapersonal Intelligence 

 Ability to understand  one's self and channelize one's thoughts,  feelings, energy  to deliver better performance ","Self inspired , Confident, emotionally stable.",,2,4,2,1,580,900,64.4,584.0,64.9,68.0,68.0,,,,,,,,,
,,,"Learns from mistakes & failures , channelizes own thoughts & emotions to deliver results in pre-decided time.",,1,4,4,,600,900,66.7,,,,,,,,,,,,,
,,,Demonstrates focus & concentration in doing things,,1,4,4,,600,900,66.7,,,,,,,,,,,,,
,,,"Competes with Self. Strives to improve  knowledge ,skills ,abilities to improve performance.",,,6,3,,600,900,66.7,,,,,,,,,,,,,
,,,Is aware of his/her  weak  areas and efforts to overcome them are visible.,,4,1,4,,540,900,60.0,,,,,,,,,,,,,
,5,"Effective communication & participation  

Effective communication with boss ,peers, subordinates. Listening skills & involvment",Listens & responds with awareness of functional role - responsibilities & its linkage with business objectives.,,1,4,4,,600,900,66.7,596.0,66.2,64.0,64.0,,,,,,,,,
,,,"Timely & structured communication with  peers, subordinates, superiors ",1,2,2,4,,540,900,60.0,,,,,,,,,,,,,
,,,Easily communicate & mold self in formal as well as informal set up,1,1,3,4,,560,900,62.2,,,,,,,,,,,,,
,,,Involved participation backed up with data .,,3,2,3,1,580,900,64.4,,,,,,,,,,,,,
,,,"Correspondence with other functions ,customers, vendors -  Email writings, reporting  etc.",,,3,4,2,700,900,77.8,,,,,,,,,,,,,
,6,"Professionalism 

 Punctual, Disciplined,Competent, 
Task Master","Respects all sort of time commitment  like punctual, follows organizational discipline & rules ,etc",,1,3,3,2,660,900,73.3,576.0,64.0,60.0,60.0,,,,,,,,,
,,,"Effective in time management, planning & prioritization of tasks given. ",,1,6,2,,560,900,62.2,,,,,,,,,,,,,
,,,Delegates responsibilities  with effective reviews & monitoring mechanism.,,3,3,3,,540,900,60.0,,,,,,,,,,,,,
,,,"Gives adequate support , direction ,appreciation to team members to complete tasks in given time. ",,2,3,2,1,520,900,57.8,,,,,,,,,,,,,
,,,Competent & committed  to deliver result in time. Competency = Knowledge * Skills * Attitude to deliver results.,,2,2,5,,600,900,66.7,,,,,,,,,,,,,
,7,"Emotional Toughness  

 Accepting tough challenges, ability to keep cool in demanding situations,courageous",Keeps cool in tough & adverse situations,2,2,3,2,,460,900,51.1,595.0,66.1,60.0,60.0,,,,,,,,,
,,,Faces reality squarely and don’t run from the situation or manipulate  situations ,,,6,4,,680,900,75.6,,,,,,,,,,,,,
,,,"In case of failure ,bonusing back attitude. ",,1,2,6,,640,900,71.1,,,,,,,,,,,,,
,,,Courageous and accepts tough challenges with confidence & conviction.,,,6,3,,600,900,66.7,,,,,,,,,,,,,
,8,"Overall behavior

Positive, friendly, Focused, genuine","Positive attitude, Part of a solution & not of a problem.  ",,1,3,4,1,640,900,71.1,670.0,74.4,75.0,75.0,,,,,,,,,
,,,"Energetic , Enthusiastic, Open minded",,,1,8,,700,900,77.8,,,,,,,,,,,,,
,,,"Helping nature , Friendly , Good at heart",,,3,3,3,720,900,80.0,,,,,,,,,,,,,
,,,Good moral charecter  people feel good when he /she is around.,,1,4,3,1,620,900,68.9,,,,,,,,,,,,,
,Cummulative Score,,,,,,,,,,,4809.0,66.79,544.0,68.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,
