,,,,,,,,,,,,,,,,,,,,,,,,
,"Name of candidate: 
",,Designation :                                   Department :                                                                                                     Date :,,,,,,Sub-total,Max. Possible,% Score,Average - Top Boss,,Average - Self,,,,,,,,,,
,,,Relation with candidate : Self / Top Boss / HR / Reporting boss / Peers / Subordinate ,Needs Improvement,Fair & Satisfactory,Good,Very Good,Excellent,,,,,,,,,,,,,,,,
,Sr. No.,Attributes,Behaviour Analysis,20,40,60,80,100,,,,Score,% Score,Score,% Score,,,,,,,,,
,1,"Accountability & Ownership 
      
     Ability to complete tasks /assignments in totality with pre-decided timeline",Understands importance  of task w.r.t. pre-decided business objectives & business challenges.,,1,1,,,100,200,50.0,88.0,44.0,84.0,84.0,,,,Sr. No.,Attributes,Average - Top Boss,,Average - Self,
,,,"Considers obstacles , challenges and thoughtfully  develops an executable action plan to meet deadlines.",,2,,,,80,200,40.0,,,,,,,,,,Score,% Score,Score,% Score
,,,Takes initiative and  drives people  to get things done to meet dead lines. ,1,1,,,,60,200,30.0,,,,,,,,1,Accountability & Ownership,88.0,44.0,84.0,84.0
,,,"Gives timely feedbacks to top management and if required asks for help, proactively .",,1,1,,,100,200,50.0,,,,,,,,2,Decision making,76.0,38.0,68.0,68.0
,,,Visibly demonstrates sense of accountability & ownership. मी आहे सर .काळजी करू नका.,,1,1,,,100,200,50.0,,,,,,,,3,Interpersonal Intelligence,75.0,37.5,65.0,65.0
,2,"Decision making

Ability to take  correct and timely decision & its effective  execution","Understands importance of function, role & responsibilities w.r.t.  business objectives & business challenges.",,1,1,,,100,200,50.0,76.0,38.0,68.0,68.0,,,,4,Intrapersonal Intelligence,64.0,32.0,68.0,68.0
,,,"Takes independent , timely - correct decisions and takes full responsibility of them.",1,1,,,,60,200,30.0,,,,,,,,5,Effective communication & participation  ,100.0,50.0,64.0,64.0
,,,Structurally monitors execution plan  and gives corrective feedbacks to concern people/ functions,,2,,,,80,200,40.0,,,,,,,,6,Professionalism ,84.0,42.0,60.0,60.0
,,,"Organized way of doing things  ,keeps own calendar, to do things with priority and keeps updated.",,2,,,,80,200,40.0,,,,,,,,7,Emotional Toughness  ,75.0,37.5,60.0,60.0
,,,"Before taking decision,  thinks about impact or  effect of decision on business as a whole. ",1,1,,,,60,200,30.0,,,,,,,,8,Overall behavior,85.0,42.5,75.0,75.0
,3,"Interpersonal Intelligence 

Emotional bonding & Relations with team members  Ability to understand & interact with  others","Understands  & deals with others emotions, feelings ,moods.",,2,,,,80,200,40.0,75.0,37.5,65.0,65.0,,,,,Cummulative,647.0,40.4,544.0,68.0
,,,Creates  an open/secured atmosphere within teams to have open discussion and free expression of opinions & feelings,1,1,,,,60,200,30.0,,,,,,,,,,,,,
,,,Inspires team members to improve their knowledge & skills for better performance.,1,1,,,,60,200,30.0,,,,,,,,,,,,,
,,,"Trustworthy ,  trust others and empowers.",,1,1,,,100,200,50.0,,,,,,,,,,,,,
,4,"Intrapersonal Intelligence 

 Ability to understand  one's self and channelize one's thoughts,  feelings, energy  to deliver better performance ","Self inspired , Confident, emotionally stable.",1,1,,,,60,200,30.0,64.0,32.0,68.0,68.0,,,,,,,,,
,,,"Learns from mistakes & failures , channelizes own thoughts & emotions to deliver results in pre-decided time.",1,1,,,,60,200,30.0,,,,,,,,,,,,,
,,,Demonstrates focus & concentration in doing things,,2,,,,80,200,40.0,,,,,,,,,,,,,
,,,"Competes with Self. Strives to improve  knowledge ,skills ,abilities to improve performance.",1,1,,,,60,200,30.0,,,,,,,,,,,,,
,,,Is aware of his/her  weak  areas and efforts to overcome them are visible.,1,1,,,,60,200,30.0,,,,,,,,,,,,,
,5,"Effective communication & participation  

Effective communication with boss ,peers, subordinates. Listening skills & involvment",Listens & responds with awareness of functional role - responsibilities & its linkage with business objectives.,,1,1,,,100,200,50.0,100.0,50.0,64.0,64.0,,,,,,,,,
,,,"Timely & structured communication with  peers, subordinates, superiors ",,1,1,,,100,200,50.0,,,,,,,,,,,,,
,,,Easily communicate & mold self in formal as well as informal set up,,,2,,,120,200,60.0,,,,,,,,,,,,,
,,,Involved participation backed up with data .,1,,1,,,80,200,40.0,,,,,,,,,,,,,
,,,"Correspondence with other functions ,customers, vendors -  Email writings, reporting  etc.",,1,1,,,100,200,50.0,,,,,,,,,,,,,
,6,"Professionalism 

 Punctual, Disciplined,Competent, 
Task Master","Respects all sort of time commitment  like punctual, follows organizational discipline & rules ,etc",,,2,,,120,200,60.0,84.0,42.0,60.0,60.0,,,,,,,,,
,,,"Effective in time management, planning & prioritization of tasks given. ",,2,,,,80,200,40.0,,,,,,,,,,,,,
,,,Delegates responsibilities  with effective reviews & monitoring mechanism.,,2,,,,80,200,40.0,,,,,,,,,,,,,
,,,"Gives adequate support , direction ,appreciation to team members to complete tasks in given time. ",1,1,,,,60,200,30.0,,,,,,,,,,,,,
,,,Competent & committed  to deliver result in time. Competency = Knowledge * Skills * Attitude to deliver results.,1,,1,,,80,200,40.0,,,,,,,,,,,,,
,7,"Emotional Toughness  

 Accepting tough challenges, ability to keep cool in demanding situations,courageous",Keeps cool in tough & adverse situations,1,1,,,,60,200,30.0,75.0,37.5,60.0,60.0,,,,,,,,,
,,,Faces reality squarely and don’t run from the situation or manipulate  situations ,1,,1,,,80,200,40.0,,,,,,,,,,,,,
,,,"In case of failure ,bonusing back attitude. ",1,1,,,,60,200,30.0,,,,,,,,,,,,,
,,,Courageous and accepts tough challenges with confidence & conviction.,,1,1,,,100,200,50.0,,,,,,,,,,,,,
,8,"Overall behavior

Positive, friendly, Focused, genuine","Positive attitude, Part of a solution & not of a problem.  ",,2,,,,80,200,40.0,85.0,42.5,75.0,75.0,,,,,,,,,
,,,"Energetic , Enthusiastic, Open minded",,2,,,,80,200,40.0,,,,,,,,,,,,,
,,,"Helping nature , Friendly , Good at heart",,1,1,,,100,200,50.0,,,,,,,,,,,,,
,,,Good moral charecter  people feel good when he /she is around.,1,,1,,,80,200,40.0,,,,,,,,,,,,,
,Cummulative Score,,,,,,,,,,,647.0,40.44,544.0,68.00,,,,,,,,,
