,,,,,,,,,,,,,,,,,,,,,,,,
,"Name of candidate: 
",,Designation :                                   Department :                                                                                                     Date :,,,,,,Sub-total,Max. Possible,% Score,Average - Total,,Average - Self,,,,,,,,,,
,,,Relation with candidate : Self / Top Boss / HR / Reporting boss / Peers / Subordinate ,Needs Improvement,Fair & Satisfactory,Good,Very Good,Excellent,,,,,,,,,,,,,,,,
,Sr. No.,Attributes,Behaviour Analysis,20,40,60,80,100,,,,Score,% Score,Score,% Score,,,,,,,,,
,1,"Accountability & Ownership 
      
     Ability to complete tasks /assignments in totality with pre-decided timeline",Understands importance  of task w.r.t. pre-decided business objectives & business challenges.,0.0,1.0,2.0,7.0,1.0,820.0,1100,74.5,720.0,65.5,84.0,84.0,,,,Sr. No.,Attributes,Average - Total,,Average - Self,
,,,"Considers obstacles , challenges and thoughtfully  develops an executable action plan to meet deadlines.",0.0,3.0,2.0,6.0,0.0,720.0,1100,65.5,,,,,,,,,,Score,% Score,Score,% Score
,,,Takes initiative and  drives people  to get things done to meet dead lines. ,1.0,1.0,6.0,3.0,0.0,660.0,1100,60.0,,,,,,,,1,Accountability & Ownership,720.0,65.5,84.0,84.0
,,,"Gives timely feedbacks to top management and if required asks for help, proactively .",0.0,2.0,4.0,5.0,0.0,720.0,1100,65.5,,,,,,,,2,Decision making,632.0,57.5,68.0,68.0
,,,Visibly demonstrates sense of accountability & ownership. मी आहे सर .काळजी करू नका.,0.0,4.0,2.0,5.0,0.0,680.0,1100,61.8,,,,,,,,3,Interpersonal Intelligence,675.0,61.4,65.0,65.0
,2,"Decision making

Ability to take  correct and timely decision & its effective  execution","Understands importance of function, role & responsibilities w.r.t.  business objectives & business challenges.",0.0,2.0,3.0,6.0,0.0,740.0,1100,67.3,632.0,57.5,68.0,68.0,,,,4,Intrapersonal Intelligence,648.0,58.9,68.0,68.0
,,,"Takes independent , timely - correct decisions and takes full responsibility of them.",1.0,2.0,6.0,2.0,0.0,620.0,1100,56.4,,,,,,,,5,Effective communication & participation  ,696.0,63.3,64.0,64.0
,,,Structurally monitors execution plan  and gives corrective feedbacks to concern people/ functions,0.0,4.0,4.0,3.0,0.0,640.0,1100,58.2,,,,,,,,6,Professionalism ,660.0,60.0,60.0,60.0
,,,"Organized way of doing things  ,keeps own calendar, to do things with priority and keeps updated.",0.0,7.0,3.0,1.0,0.0,540.0,1100,49.1,,,,,,,,7,Emotional Toughness  ,670.0,60.9,60.0,60.0
,,,"Before taking decision,  thinks about impact or  effect of decision on business as a whole. ",1.0,3.0,4.0,3.0,0.0,620.0,1100,56.4,,,,,,,,8,Overall behavior,755.0,68.6,75.0,75.0
,3,"Interpersonal Intelligence 

Emotional bonding & Relations with team members  Ability to understand & interact with  others","Understands  & deals with others emotions, feelings ,moods.",0.0,4.0,5.0,2.0,0.0,620.0,1100,56.4,675.0,61.4,65.0,65.0,,,,,Cummulative,682.0,62.0,544.0,68.0
,,,Creates  an open/secured atmosphere within teams to have open discussion and free expression of opinions & feelings,1.0,3.0,2.0,4.0,1.0,680.0,1100,61.8,,,,,,,,,,,,,
,,,Inspires team members to improve their knowledge & skills for better performance.,1.0,2.0,3.0,4.0,1.0,700.0,1100,63.6,,,,,,,,,,,,,
,,,"Trustworthy ,  trust others and empowers.",0.0,2.0,5.0,4.0,0.0,700.0,1100,63.6,,,,,,,,,,,,,
,4,"Intrapersonal Intelligence 

 Ability to understand  one's self and channelize one's thoughts,  feelings, energy  to deliver better performance ","Self inspired , Confident, emotionally stable.",1.0,3.0,4.0,2.0,1.0,640.0,1100,58.2,648.0,58.9,68.0,68.0,,,,,,,,,
,,,"Learns from mistakes & failures , channelizes own thoughts & emotions to deliver results in pre-decided time.",1.0,2.0,4.0,4.0,0.0,660.0,1100,60.0,,,,,,,,,,,,,
,,,Demonstrates focus & concentration in doing things,0.0,3.0,4.0,4.0,0.0,680.0,1100,61.8,,,,,,,,,,,,,
,,,"Competes with Self. Strives to improve  knowledge ,skills ,abilities to improve performance.",1.0,1.0,6.0,3.0,0.0,660.0,1100,60.0,,,,,,,,,,,,,
,,,Is aware of his/her  weak  areas and efforts to overcome them are visible.,1.0,5.0,1.0,4.0,0.0,600.0,1100,54.5,,,,,,,,,,,,,
,5,"Effective communication & participation  

Effective communication with boss ,peers, subordinates. Listening skills & involvment",Listens & responds with awareness of functional role - responsibilities & its linkage with business objectives.,0.0,2.0,5.0,4.0,0.0,700.0,1100,63.6,696.0,63.3,64.0,64.0,,,,,,,,,
,,,"Timely & structured communication with  peers, subordinates, superiors ",1.0,3.0,3.0,4.0,0.0,640.0,1100,58.2,,,,,,,,,,,,,
,,,Easily communicate & mold self in formal as well as informal set up,1.0,1.0,5.0,4.0,0.0,680.0,1100,61.8,,,,,,,,,,,,,
,,,Involved participation backed up with data .,1.0,3.0,3.0,3.0,1.0,660.0,1100,60.0,,,,,,,,,,,,,
,,,"Correspondence with other functions ,customers, vendors -  Email writings, reporting  etc.",0.0,1.0,4.0,4.0,2.0,800.0,1100,72.7,,,,,,,,,,,,,
,6,"Professionalism 

 Punctual, Disciplined,Competent, 
Task Master","Respects all sort of time commitment  like punctual, follows organizational discipline & rules ,etc",0.0,1.0,5.0,3.0,2.0,780.0,1100,70.9,660.0,60.0,60.0,60.0,,,,,,,,,
,,,"Effective in time management, planning & prioritization of tasks given. ",0.0,3.0,6.0,2.0,0.0,640.0,1100,58.2,,,,,,,,,,,,,
,,,Delegates responsibilities  with effective reviews & monitoring mechanism.,0.0,5.0,3.0,3.0,0.0,620.0,1100,56.4,,,,,,,,,,,,,
,,,"Gives adequate support , direction ,appreciation to team members to complete tasks in given time. ",1.0,3.0,3.0,2.0,1.0,580.0,1100,52.7,,,,,,,,,,,,,
,,,Competent & committed  to deliver result in time. Competency = Knowledge * Skills * Attitude to deliver results.,1.0,2.0,3.0,5.0,0.0,680.0,1100,61.8,,,,,,,,,,,,,
,7,"Emotional Toughness  

 Accepting tough challenges, ability to keep cool in demanding situations,courageous",Keeps cool in tough & adverse situations,3.0,3.0,3.0,2.0,0.0,520.0,1100,47.3,670.0,60.9,60.0,60.0,,,,,,,,,
,,,Faces reality squarely and don’t run from the situation or manipulate  situations ,1.0,0.0,7.0,4.0,0.0,760.0,1100,69.1,,,,,,,,,,,,,
,,,"In case of failure ,bonusing back attitude. ",1.0,2.0,2.0,6.0,0.0,700.0,1100,63.6,,,,,,,,,,,,,
,,,Courageous and accepts tough challenges with confidence & conviction.,0.0,1.0,7.0,3.0,0.0,700.0,1100,63.6,,,,,,,,,,,,,
,8,"Overall behavior

Positive, friendly, Focused, genuine","Positive attitude, Part of a solution & not of a problem.  ",0.0,3.0,3.0,4.0,1.0,720.0,1100,65.5,755.0,68.6,75.0,75.0,,,,,,,,,
,,,"Energetic , Enthusiastic, Open minded",0.0,2.0,1.0,8.0,0.0,780.0,1100,70.9,,,,,,,,,,,,,
,,,"Helping nature , Friendly , Good at heart",0.0,1.0,4.0,3.0,3.0,820.0,1100,74.5,,,,,,,,,,,,,
,,,Good moral charecter  people feel good when he /she is around.,1.0,1.0,5.0,3.0,1.0,700.0,1100,63.6,,,,,,,,,,,,,
,Cummulative Score,,,,,,,,,,,682.0,62.00,544.0,68.00,,,,,,,,,
